"Journal Data Filtered By:  Selected JCR Year: 2008 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score,
148,ARCHIVES OF INTERNAL MEDICINE,0003-9926,"35,176",9.110,262,0.113720,
149,CURRENT OPINION IN STRUCTURAL BIOLOGY,0959-440X,"8,844",9.060,92,0.050690,
150,EUROPEAN HEART JOURNAL,0195-668X,"21,703",8.917,296,0.097520,
151,MEDICINAL RESEARCH REVIEWS,0198-6325,"2,426",8.907,31,0.007070,
152,PLoS Genetics,1553-7390,"4,900",8.883,333,0.060830,
153,MOLECULAR & CELLULAR PROTEOMICS,1535-9476,"7,937",8.834,188,0.049180,
154,Nano Today,1748-0132,376,8.795,13,0.002830,
155,BIOLOGICAL REVIEWS,1464-7931,"4,056",8.755,29,0.012030,
156,FRONTIERS IN NEUROENDOCRINOLOGY,0091-3022,"1,817",8.692,32,0.004330,
157,CURRENT OPINION IN PLANT BIOLOGY,1369-5266,"6,374",8.688,94,0.038240,
158,BIOLOGICAL PSYCHIATRY,0006-3223,"29,333",8.672,297,0.113890,
159,TRENDS IN GENETICS,0168-9525,"10,164",8.659,91,0.053750,
160,LEUKEMIA,0887-6924,"14,345",8.634,225,0.059440,
161,ADVANCES IN IMMUNOLOGY,0065-2776,"2,245",8.625,22,0.009450,
162,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,"1,782",8.500,16,0.010430,
163,INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,1565-1339,"1,978",8.479,55,0.011870,
164,ANNALS OF SURGERY,0003-4932,"31,649",8.460,250,0.067290,
165,DIABETES,0012-1797,"43,101",8.398,391,0.148300,
166,ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,0065-2601,"2,550",8.308,5,0.004830,
167,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1040-9238,"2,181",8.306,16,0.009190,
168,EMBO JOURNAL,0261-4189,"73,804",8.295,291,0.283980,
169,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,"12,455",8.287,126,0.031700,
170,SEMINARS IN CANCER BIOLOGY,1044-579X,"3,506",8.284,49,0.016760,
171,MOLECULAR INTERVENTIONS,1534-0384,"1,048",8.273,7,0.005980,
172,CLINICAL INFECTIOUS DISEASES,1058-4838,"37,895",8.266,517,0.137180,
