	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
User’s Manual for the Subtitle D Municipal Landfill Cost Model	0.6666666666666667	0.5	0.4482758620689655	0.5652173913043479	0.6	0.5625	0.6458333333333333	0.5517241379310345	0.5172413793103448	0.46875	0.4285714285714286	0.5681818181818181
Waste and MaterialsFlow Benchmark Sector Report Beneficial Use of Secondary Materials – Coal Combustion Products	0.625	0.375	0.375	0.44680851063829785	0.5471698113207547	0.6052631578947368	0.56	0.5588235294117647	0.5714285714285714	0.5641025641025641	0.5	0.4782608695652174
Wastes from the Combustion of Coal by Electric Utility Power Plants	0.5757575757575757	0.37037037037037035	0.4285714285714286	0.5227272727272727	0.5625	0.59375	0.5777777777777777	0.4814814814814815	0.5517241379310345	0.5454545454545454	0.4642857142857143	0.4878048780487805
1992 OMB Circular A94	0.75	0.8064516129032258	0.8064516129032258	0.7659574468085106	0.7083333333333333	0.6896551724137931	0.7608695652173914	0.7407407407407407	0.75	0.71875	0.7586206896551724	0.7209302325581395
Corrective Measures Study Scope of Work	0.7058823529411764	0.5357142857142857	0.4814814814814815	0.5909090909090908	0.653061224489796	0.5517241379310345	0.6444444444444444	0.5925925925925926	0.5555555555555556	0.59375	0.4	0.627906976744186
Economic Analysis of Wet Versus Dry Ash Disposal Systems Interagency EnergyEnvironment RD Program Report	0.6666666666666667	0.46875	0.46875	0.37209302325581395	0.4897959183673469	0.48484848484848486	0.5	0.5161290322580645	0.4838709677419355	0.5277777777777778	0.3448275862068966	0.4772727272727273
Engineering aspects of karst	0.7	0.4347826086956522	0.4347826086956522	0.6428571428571428	0.7021276595744681	0.52	0.6341463414634146	0.5652173913043479	0.5217391304347826	0.6206896551724138	0.40909090909090906	0.65
EPA’s Action Development Process  Guidance on Executive Order 13132 Federalism	0.6666666666666667	0.5588235294117647	0.6	0.4782608695652174	0.52	0.3870967741935484	0.4666666666666667	0.4666666666666667	0.53125	0.5675675675675675	0.5454545454545454	0.5111111111111111
Memoranda 0127 Guidance for Implementing EO 13211	0.75	0.5757575757575757	0.5757575757575757	0.5531914893617021	0.5	0.5	0.5434782608695652	0.5333333333333333	0.5	0.5428571428571429	0.5161290322580645	0.45238095238095233
Proposed Rulemaking to Establish LightDuty Vehicle Greenhouse Gas Emission Standards and Corporate Average Fuel Economy Standards	0.6	0.3939393939393939	0.3939393939393939	0.31818181818181823	0.47058823529411764	0.5	0.44680851063829785	0.5294117647058824	0.5	0.45945945945945943	0.4242424242424242	0.4565217391304348
The PUC Ratemaking Process and the Role of Consumers	0.5757575757575757	0.37037037037037035	0.4285714285714286	0.4883720930232558	0.5918367346938775	0.5	0.5454545454545454	0.42307692307692313	0.4444444444444444	0.5	0.4642857142857143	0.4878048780487805
Lisa Jackson’s 14 January 2009 Senate confirmation hearing testimony	0.717948717948718	0.53125	0.4838709677419355	0.5833333333333333	0.5306122448979591	0.5882352941176471	0.574468085106383	0.5333333333333333	0.4482758620689655	0.4545454545454546	0.4137931034482759	0.5555555555555556
Power Price Volatility and Risk Management An Introduction	0.6285714285714286	0.33333333333333337	0.3928571428571429	0.4651162790697675	0.5714285714285714	0.4666666666666667	0.5555555555555556	0.5	0.5172413793103448	0.5588235294117647	0.48275862068965514	0.5348837209302326
TVA Estimates cleanup cost at between 525m825m	0.6060606060606061	0.5172413793103448	0.5172413793103448	0.5777777777777777	0.6122448979591837	0.4285714285714286	0.6	0.6206896551724138	0.6333333333333333	0.53125	0.5517241379310345	0.5121951219512195
Wastes from TVA Spill Begins to Arrive at Alabama Landfill amid Controversy	0.5714285714285714	0.4838709677419355	0.43333333333333335	0.48888888888888893	0.56	0.5	0.574468085106383	0.5806451612903225	0.5	0.5	0.3571428571428571	0.5227272727272727
Clash in Alabama Over Tennessee Coal Ash	0.29166666666666663	0.5384615384615384	0.5384615384615384	0.5952380952380952	0.6595744680851063	0.5555555555555556	0.6511627906976745	0.4782608695652174	0.5	0.5517241379310345	0.5769230769230769	0.6
“EPA Vows to Act on Coal Waste	0.6774193548387097	0.5925925925925926	0.6428571428571428	0.6590909090909092	0.7142857142857143	0.6551724137931034	0.7391304347826086	0.6	0.6666666666666667	0.7272727272727273	0.6785714285714286	0.6666666666666667
2007 Coal Combustion Product CCP Production  Use Survey Results Revised	0.6388888888888888	0.4666666666666667	0.4666666666666667	0.5111111111111111	0.4893617021276596	0.4838709677419355	0.5957446808510638	0.40740740740740744	0.4285714285714286	0.3870967741935484	0.4482758620689655	0.4390243902439024
A Novel Approach to the handling and disposal of coal combustion products	0.5161290322580645	0.34615384615384615	0.34615384615384615	0.47619047619047616	0.5531914893617021	0.3076923076923077	0.46341463414634143	0.4	0.36	0.3793103448275862	0.31999999999999995	0.5121951219512195
ACAA webpage containing Frequently Asked Question	0.5882352941176471	0.33333333333333337	0.33333333333333337	0.5	0.6	0.4666666666666667	0.5227272727272727	0.6	0.5666666666666667	0.5588235294117647	0.48275862068965514	0.5348837209302326
ACAA’s 2005 beneficial use data	0.696969696969697	0.6206896551724138	0.6206896551724138	0.6739130434782609	0.6458333333333333	0.4814814814814815	0.6666666666666667	0.5769230769230769	0.5925925925925926	0.5333333333333333	0.6071428571428572	0.55
