	Clash in Alabama Over Tennessee Coal Ash” The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the “direct cost” scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA’s 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to “substantial direct compliance costs”	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of “Attachment A Guidance for Implementing the Federalism 1 Test” to EPA’s Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA’s
CKD proposed rule	0.8548387096774194	0.8636363636363636	0.8695652173913043	0.9676025917926566	0.9779411764705882	0.875	0.9429824561403509	0.8490566037735849	0.8666666666666667	0.864406779661017	0.8804347826086957	0.9397590361445783
EPA ICR 095913 Federal Register Vol73 No103 page 30617	0.8225806451612904	0.8484848484848485	0.855072463768116	0.9330453563714903	0.9514705882352941	0.8181818181818182	0.8771929824561403	0.8888888888888888	0.9	0.847457627118644	0.8260869565217391	0.8835341365461847
Federal Register Vol 43 No 243	0.7903225806451613	0.8484848484848485	0.8405797101449275	0.9524838012958964	0.9661764705882353	0.8295454545454546	0.9078947368421053	0.7924528301886793	0.8	0.7796610169491526	0.8478260869565217	0.9196787148594378
Federal Register Vol64 No161 20 Aug 1999 pp4563245697	0.8870967741935484	0.8787878787878788	0.855072463768116	0.9395248380129589	0.9558823529411765	0.8636363636363636	0.881578947368421	0.8867924528301887	0.85	0.864406779661017	0.8369565217391305	0.9116465863453815
General Hazardous Waste Facility Standards	0.8225806451612904	0.7272727272727273	0.7391304347826086	0.9244060475161987	0.9485294117647058	0.7954545454545454	0.8771929824561403	0.8490566037735849	0.8166666666666667	0.7966101694915254	0.7717391304347826	0.8795180722891566
Notification of Episodic Releases of Oil and Hazardous Substances Renewal	0.8356164383561644	0.8082191780821918	0.821917808219178	0.8855291576673866	0.913235294117647	0.75	0.8157894736842105	0.8082191780821918	0.8082191780821918	0.7671232876712328	0.7608695652173914	0.8273092369477911
Notification of Regulated Waste Activity Renewal	0.8225806451612904	0.7272727272727273	0.7246376811594203	0.9157667386609071	0.9382352941176471	0.7840909090909091	0.8552631578947368	0.8679245283018868	0.8166666666666667	0.7796610169491526	0.7391304347826086	0.8674698795180723
Part B Permit Application	0.8709677419354839	0.803030303030303	0.8260869565217391	0.9524838012958964	0.9676470588235294	0.8409090909090909	0.9210526315789473	0.8113207547169812	0.8	0.847457627118644	0.8369565217391305	0.9156626506024096
RCRA Hazardous Waste Permit Application and Modification part A	0.9047619047619048	0.8333333333333334	0.7971014492753623	0.9006479481641468	0.9205882352941176	0.7613636363636364	0.8333333333333334	0.8253968253968254	0.8412698412698413	0.8412698412698413	0.75	0.8353413654618473
RCRA Hazardous Waste Permit Application and Modification Part A	0.9047619047619048	0.8333333333333334	0.7971014492753623	0.9006479481641468	0.9220588235294118	0.7613636363636364	0.8333333333333334	0.8253968253968254	0.8412698412698413	0.8412698412698413	0.75	0.8353413654618473
Small Electric Motors Final Rule Technical Support Document Chapter 16 	0.8309859154929577	0.8591549295774648	0.8732394366197183	0.8898488120950324	0.9161764705882353	0.8068181818181818	0.8026315789473685	0.7746478873239436	0.7746478873239436	0.7746478873239436	0.7608695652173914	0.8473895582329317
A Reference Lottery Metric for Valuing Health	0.8548387096774194	0.7878787878787878	0.7536231884057971	0.9200863930885529	0.9411764705882353	0.7613636363636364	0.8464912280701754	0.8113207547169812	0.8	0.7966101694915254	0.7717391304347826	0.8594377510040161
Oxidation State of Arsenic in Coal Ash Leachate	0.7096774193548387	0.7424242424242424	0.7536231884057971	0.9114470842332614	0.9367647058823529	0.7613636363636364	0.8596491228070176	0.7547169811320755	0.7833333333333333	0.7627118644067796	0.7608695652173914	0.8634538152610441
Procedures for Calculating Cessation Lag	0.8548387096774194	0.7575757575757576	0.7681159420289855	0.9287257019438445	0.9470588235294117	0.7954545454545454	0.881578947368421	0.7735849056603774	0.7833333333333333	0.7796610169491526	0.8260869565217391	0.8875502008032129
The Influence of Location Source and Emission Type in Estimates of the Human Health Benefits of Reducing a Ton of Air Pollution	0.8031496062992126	0.8031496062992126	0.8031496062992126	0.8250539956803455	0.8632352941176471	0.7874015748031497	0.7412280701754386	0.7874015748031497	0.7874015748031497	0.7874015748031497	0.7322834645669292	0.7590361445783133
